review,rating,date,bank,source,sentiment_label,sentiment_score,processed_review,keywords,identified_theme(s)
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,NEGATIVE,0.993474304676056,wor app loading,"['loading', 'wor app', 'wor']",Other
BoA system is confartable,5,2025-06-01,BOA,Google Play,NEGATIVE,0.9980142116546632,boa system confartable,"['system', 'boa']",Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,NEGATIVE,0.99980491399765,app waste time work long piss fix problem,"['long', 'problem', 'fix']",Other
Good service.,3,2025-05-25,BOA,Google Play,POSITIVE,0.9998533725738524,good service,"['good service', 'service', 'good']",Customer Support
the app crush frequently,1,2025-05-24,BOA,Google Play,NEGATIVE,0.998525083065033,app crush frequently,"['crush', 'frequently', 'app']",Other
good,5,2025-05-22,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,NEGATIVE,0.9997075200080872,guy keep get bad,"['keep get', 'guy', 'keep']",Other
good,5,2025-05-21,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,NEGATIVE,0.999026656150818,app joke crash work take forever load half feature decorative point log transfer money check balance bug developer actually try work kind social experiment test patience build sleep definitely look like idea functional app maybe consider different career path,"['forever load', 'maybe', 'look like']",Other
BoA,2,2025-05-20,BOA,Google Play,NEGATIVE,0.7410542368888855,boa,['boa'],Other
good,5,2025-05-20,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
but not opening on android,4,2025-05-19,BOA,Google Play,NEGATIVE,0.9952228665351868,open android,"['android', 'open']",Other
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,NEGATIVE,0.9997984766960144,bad app totally unreliable work month,"['totally', 'month', 'unreliable']",Other
amazing,5,2025-05-18,BOA,Google Play,POSITIVE,0.999875545501709,amazing,['amazing'],Other
excellent app,4,2025-05-16,BOA,Google Play,POSITIVE,0.9998356103897096,excellent app,"['excellent app', 'excellent', 'app']",Other
excellent,5,2025-05-15,BOA,Google Play,POSITIVE,0.9998434782028198,excellent,['excellent'],Other
ሞላዬ ከበደ,5,2025-05-14,BOA,Google Play,NEGATIVE,0.7850590348243713,ሞላዬ ከበደ,[],Other
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,NEGATIVE,0.9992283582687378,app work samsung give preview logo,"['samsung', 'give', 'app work']",Other
nice,5,2025-05-10,BOA,Google Play,POSITIVE,0.9998552799224854,nice,['nice'],Other
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,NEGATIVE,0.9994921684265136,enter incorrect security question mistake boa app lock pin forever option contact different branch able solve issue,"['mistake', 'lock', 'incorrect']",Other
Best app,5,2025-05-09,BOA,Google Play,POSITIVE,0.999686598777771,good app,"['good app', 'good', 'app']",Other
liking this application good 👍,5,2025-05-07,BOA,Google Play,POSITIVE,0.9996829032897948,like application good,"['like application', 'application good', 'application']",Other
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,Google Play,NEGATIVE,0.9989790916442872,app future good problem app reset activate difficult branch staff take long time active branch plus time high expect failure activation process counter otp sent work,"['branch', 'time', 'staff']",Other
good,5,2025-05-06,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
good,5,2025-05-02,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
good,4,2025-04-30,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
good,4,2025-04-30,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
wow,5,2025-04-28,BOA,Google Play,POSITIVE,0.999592125415802,wow,['wow'],Other
it's really good 👍,5,2025-04-23,BOA,Google Play,POSITIVE,0.9998701810836792,good,['good'],Other
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,NEGATIVE,0.9995198249816896,bad app stick open note work,"['note', 'bad app', 'open']",Other
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,NEGATIVE,0.9997255206108092,app work ask password start load open,"['start', 'password', 'load']",Account Access Issues
Best,2,2025-04-19,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,NEGATIVE,0.999669909477234,keep show pop turn developer option tho turn work horrible experience need fix asap plus kinda slow,"['turn', 'kinda', 'horrible']",Other
yideg,1,2025-04-18,BOA,Google Play,NEGATIVE,0.7675821781158447,yideg,[],Other
አይከፍትም እኮ,1,2025-04-17,BOA,Google Play,NEGATIVE,0.7850590348243713,አይከፍትም እኮ,[],Other
great boa,5,2025-04-10,BOA,Google Play,POSITIVE,0.9992689490318298,great boa,"['great boa', 'boa', 'great']",Other
Best,5,2025-04-10,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
boa of mobile backing,5,2025-04-09,BOA,Google Play,NEGATIVE,0.980626106262207,boa mobile backing,"['boa mobile', 'boa', 'mobile']",Other
nice,5,2025-04-09,BOA,Google Play,POSITIVE,0.9998552799224854,nice,['nice'],Other
faster bank of Abissinya,5,2025-04-08,BOA,Google Play,POSITIVE,0.9722142815589904,fast bank abissinya,"['fast', 'bank']",Transaction Performance
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,NEGATIVE,0.9996716976165771,give low possible crush bank long fix bug,"['fix bug', 'crush', 'low']",Other
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,NEGATIVE,0.999774158000946,work frustrating,"['frustrating', 'work']",Other
like,5,2025-04-06,BOA,Google Play,POSITIVE,0.9910564422607422,like,['like'],Other
it's not work correctly... you must have update it,1,2025-04-06,BOA,Google Play,NEGATIVE,0.9998013377189636,work correctly update,"['update', 'work']",Feature Requests
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,Google Play,POSITIVE,0.9575353264808656,app get considerable improvement like language qr scanner unlimited transfer survice boa alot fastness convenient login make transaction,"['survice', 'improvement like', 'make transaction']",Transaction Performance
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,Google Play,NEGATIVE,0.5856854915618896,type password say successfully log go page,"['type', 'page', 'password']",Account Access Issues
good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,NEGATIVE,0.9693678617477416,good update add new thing,"['thing', 'add', 'new']",Feature Requests
very good,5,2025-04-03,BOA,Google Play,POSITIVE,0.9998520612716676,good,['good'],Other
thank you,5,2025-04-02,BOA,Google Play,POSITIVE,0.9998352527618408,thank,['thank'],Other
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,Google Play,NEGATIVE,0.9990907907485962,work period z slow mobile banking use,"['period', 'slow', 'mobile banking']",Transaction Performance
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,Google Play,NEGATIVE,0.9973751306533812,activate application allow sign automatically turn phone,"['sign', 'automatically', 'activate']",Other
good application,5,2025-03-30,BOA,Google Play,POSITIVE,0.999854564666748,good application,"['good application', 'application', 'good']",Other
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,Google Play,NEGATIVE,0.9995684027671814,version work buy card send money,"['card', 'send money', 'send']",Other
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,Google Play,NEGATIVE,0.9996182918548584,actively initialization say incorrect otp get exact otp,"['otp', 'incorrect', 'get']",Other
always problematic hardly works,1,2025-03-26,BOA,Google Play,NEGATIVE,0.99955552816391,problematic hardly work,['work'],Other
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,Google Play,NEGATIVE,0.9997418522834778,consider fact bank huge app bad well,"['bank huge', 'bad well', 'consider']",Other
best app,5,2025-03-25,BOA,Google Play,POSITIVE,0.999686598777771,good app,"['good app', 'good', 'app']",Other
very good,5,2025-03-25,BOA,Google Play,POSITIVE,0.9998520612716676,good,['good'],Other
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,BOA,Google Play,NEGATIVE,0.9998050332069396,bad app bank u ashamed scammer,"['ashamed', 'app bank', 'bad app']",Other
great BoA,5,2025-03-22,BOA,Google Play,POSITIVE,0.9992689490318298,great boa,"['great boa', 'boa', 'great']",Other
best,5,2025-03-21,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,Google Play,NEGATIVE,0.9988333582878112,go bank time transaction balance point have mobile banking transaction work,"['transaction', 'banking transaction', 'point']",Transaction Performance
good,5,2025-03-21,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
good,5,2025-03-19,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
there is no speed,1,2025-03-19,BOA,Google Play,NEGATIVE,0.9994422793388368,speed,['speed'],Other
"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,NEGATIVE,0.999398112297058,want download,"['want', 'download']",Other
wonderful,5,2025-03-19,BOA,Google Play,POSITIVE,0.9998772144317628,wonderful,['wonderful'],Other
all worck,5,2025-03-19,BOA,Google Play,NEGATIVE,0.9971314668655396,worck,[],Other
Best app,5,2025-03-17,BOA,Google Play,POSITIVE,0.999686598777771,good app,"['good app', 'good', 'app']",Other
Loved it,5,2025-03-14,BOA,Google Play,POSITIVE,0.9998797178268432,love,['love'],Other
Wow,1,2025-03-14,BOA,Google Play,POSITIVE,0.999592125415802,wow,['wow'],Other
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,NEGATIVE,0.9985970854759216,edit new bug app let type otp code shameful app allow use have developer option consider actual developer expect toggle option bank restart phone message lable somthe smoothen experience like security consultant thing implement app invest actual security mess,"['security', 'option', 'developer']",Other
Improved to be the best,5,2025-03-11,BOA,Google Play,POSITIVE,0.9998570680618286,improve good,"['improve good', 'improve', 'good']",Other
BoA,5,2025-03-11,BOA,Google Play,NEGATIVE,0.7410542368888855,boa,['boa'],Other
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,BOA,Google Play,NEGATIVE,0.99748432636261,decent problem say error transfer money infact transfer bug transfer time instead transfer money telebirr acc self boe dev fix,"['transfer', 'transfer money', 'money']",Transaction Performance
BoA Greqt Ethiopian bank.,5,2025-03-11,BOA,Google Play,NEGATIVE,0.8457716703414917,boa greqt ethiopian bank,"['ethiopian', 'boa', 'bank']",Other
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,BOA,Google Play,NEGATIVE,0.9994600415229796,bug app crash time try log especially old phone like galaxy,"['galaxy', 'bug app', 'especially']",Other
Almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,Google Play,NEGATIVE,0.9741679430007936,well compare cbe qualified,"['compare', 'cbe', 'well']",Other
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,Google Play,POSITIVE,0.9998214840888976,awesome app simple use important app,"['awesome app', 'important', 'app simple']",Other
Wonderfull app,5,2025-03-08,BOA,Google Play,POSITIVE,0.9998815059661864,wonderfull app,['app'],Other
i can't use this app why?,5,2025-03-07,BOA,Google Play,NEGATIVE,0.9993101358413696,use app,"['use app', 'use', 'app']",Other
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,NEGATIVE,0.9997013211250304,bad mobile banking app experience blame app compare well clash take long time login load short complete trash,"['short', 'take long', 'trash']",Other
Wow,4,2025-03-05,BOA,Google Play,POSITIVE,0.999592125415802,wow,['wow'],Other
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,Google Play,NEGATIVE,0.9998133778572084,bro bad app human kind software engineer sad see enterprise big boa app like disgrace country,"['human', 'app human', 'sad']",Other
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,BOA,Google Play,NEGATIVE,0.9959415793418884,aga b girja miss language admin afaan oromo itoophiyaa language,"['language', 'oromo', 'miss']",Other
Good app,5,2025-03-03,BOA,Google Play,POSITIVE,0.9998493194580078,good app,"['good app', 'good', 'app']",Other
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,Google Play,NEGATIVE,0.9916398525238036,download app time read customer review soon instal open app close automatically unserious bank uninstalle app immediately,"['read', 'automatically', 'app time']",Other
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,NEGATIVE,0.9956711530685424,good feature work,"['good feature', 'feature', 'work']",Feature Requests
Very poor proformance,1,2025-03-01,BOA,Google Play,NEGATIVE,0.9998043179512024,poor proformance,['poor'],Other
It's not opening. Really frustrating,1,2025-03-01,BOA,Google Play,NEGATIVE,0.9997020363807678,open frustrate,['open'],Other
Verry Amazing App from all IB,5,2025-03-01,BOA,Google Play,POSITIVE,0.9997394680976868,verry amazing app ib,"['amazing app', 'amazing', 'app']",Other
Not working on this days,1,2025-02-26,BOA,Google Play,NEGATIVE,0.9972773194313048,work day,"['work day', 'day', 'work']",Other
Thank you BoA,5,2025-02-23,BOA,Google Play,POSITIVE,0.9998399019241332,thank boa,"['boa', 'thank']",Other
best banking app in the wworld,5,2025-02-22,BOA,Google Play,POSITIVE,0.999572217464447,good banking app wworld,"['good banking', 'banking app', 'banking']",Other
Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,POSITIVE,0.999751627445221,nice app easy use,"['app easy', 'nice app', 'easy use']",User Interface & Experience
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,Google Play,NEGATIVE,0.999267876148224,add language app afan oromo tigniya bank bank transfer available time available reachable issue,"['available', 'oromo', 'language']",Other
This is help full i like ittttt,5,2025-02-14,BOA,Google Play,POSITIVE,0.9977995753288268,help like ittttt,"['help', 'like']",Customer Support
The is not functional at all?,2,2025-02-12,BOA,Google Play,NEGATIVE,0.9997331500053406,functional,['functional'],Other
Best bank,5,2025-02-08,BOA,Google Play,POSITIVE,0.9997438788414,good bank,"['good bank', 'bank', 'good']",Other
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,Google Play,POSITIVE,0.9997236132621764,easy convienient use perfect high prefrence choice,"['choice', 'high', 'perfect']",Other
good,5,2025-02-05,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
I have been using this app for two years.It is amazing.,5,2025-02-01,BOA,Google Play,POSITIVE,0.9998595714569092,app amazing,"['amazing', 'app']",Other
Good 👍,5,2025-01-31,BOA,Google Play,POSITIVE,0.9998576641082764,good,['good'],Other
Sad experience,1,2025-01-30,BOA,Google Play,NEGATIVE,0.999068796634674,sad experience,"['sad', 'experience']",Other
Always do update and that is annoying,3,2025-01-27,BOA,Google Play,NEGATIVE,0.9994439482688904,update annoying,"['annoying', 'update']",Feature Requests
"Best app, somehow waiting a few minutes",5,2025-01-23,BOA,Google Play,NEGATIVE,0.6387038230895996,good app wait minute,"['minute', 'wait', 'good app']",Other
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,Google Play,NEGATIVE,0.9946038126945496,dijitalize atm apollo app phone,"['apollo', 'atm', 'phone']",Other
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,NEGATIVE,0.997660994529724,try sign app close fix,"['sign', 'app close', 'close']",Other
Beter,5,2025-01-21,BOA,Google Play,POSITIVE,0.6771944165229797,beter,[],Other
Boa,4,2025-01-18,BOA,Google Play,NEGATIVE,0.7410542368888855,boa,['boa'],Other
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,Google Play,NEGATIVE,0.9979276657104492,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ app slow ehhhh upgrade app zero,"['በጣም', 'zero', 'app slow']",Transaction Performance
Aadan Axmed Barkhadle,5,2025-01-17,BOA,Google Play,POSITIVE,0.6127519011497498,aadan axme barkhadle,[],Other
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,Google Play,NEGATIVE,0.6970565915107727,,[],Other
Horrible customer service and app crashes Horrible!!,1,2025-01-15,BOA,Google Play,NEGATIVE,0.9997913241386414,horrible customer service app crash horrible,"['horrible', 'service app', 'customer service']",Customer Support
I love it,5,2025-01-14,BOA,Google Play,POSITIVE,0.9998799562454224,love,['love'],Other
Best,5,2025-01-14,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,BOA,Google Play,NEGATIVE,0.9985793828964232,keep ask turn developer mode dev mode use,"['mode', 'ask turn', 'dev']",Other
Good🙏,5,2025-01-12,BOA,Google Play,NEGATIVE,0.6970565915107727,good,['good'],Other
Like to much,5,2025-01-11,BOA,Google Play,POSITIVE,0.9997984766960144,like,['like'],Other
Thank you,5,2025-01-10,BOA,Google Play,POSITIVE,0.9998352527618408,thank,['thank'],Other
Perfect,5,2025-01-09,BOA,Google Play,POSITIVE,0.9998517036437988,perfect,['perfect'],Other
The best of best,5,2025-01-09,BOA,Google Play,POSITIVE,0.9998393058776855,good good,"['good good', 'good']",Other
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,BOA,Google Play,NEGATIVE,0.9016599655151368,app long time amazing user friendly ui find pin button app,"['amazing user', 'long time', 'button']",Other
Boa,5,2025-01-06,BOA,Google Play,NEGATIVE,0.7410542368888855,boa,['boa'],Other
Great 👍,5,2025-01-04,BOA,Google Play,POSITIVE,0.9997692704200744,great,['great'],Other
Fast and suitable for the customers.,5,2025-01-04,BOA,Google Play,POSITIVE,0.9997920393943788,fast suitable customer,"['suitable', 'customer', 'fast']",Transaction Performance
Good 👍,5,2025-01-03,BOA,Google Play,POSITIVE,0.9998576641082764,good,['good'],Other
Good app and helpful,5,2025-01-03,BOA,Google Play,POSITIVE,0.9998565912246704,good app helpful,"['helpful', 'good app', 'good']",Other
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,BOA,Google Play,NEGATIVE,0.9978498220443726,star face multiple problem app fast bank app like cbe app ask repeatedly switch developer option switch bank abyssinia service interesting ignore issue app service customer give complain app accept complain fix issue lastly recommend app issue solve asap,"['issue', 'complain', 'switch']",Other
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,BOA,Google Play,NEGATIVE,0.9992759823799132,assess tell abyssinia bank idea mobile banking,"['tell', 'idea', 'abyssinia']",Other
It doesn't work at all.,2,2025-01-02,BOA,Google Play,NEGATIVE,0.9997771382331848,work,['work'],Other
this app is not available,1,2025-01-02,BOA,Google Play,NEGATIVE,0.9997593760490416,app available,"['available', 'app']",Other
Best,5,2025-01-01,BOA,Google Play,POSITIVE,0.9997941851615906,well,['well'],Other
Wow what amazing,5,2024-12-30,BOA,Google Play,POSITIVE,0.9998555183410645,wow amazing,"['wow amazing', 'wow', 'amazing']",Other
love it,5,2024-12-30,BOA,Google Play,POSITIVE,0.99987530708313,love,['love'],Other
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,BOA,Google Play,NEGATIVE,0.9733067750930786,በጣም መሻሻል አለበት ለ ባንኩ ማይመጥን መተግበርያ ነው,"['በጣም', 'ነው']",Other
Lemn embi yilal??,5,2024-12-30,BOA,Google Play,NEGATIVE,0.990697145462036,lemn embi yilal,[],Other
Good,5,2024-12-30,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
It's useless app downgraded.,1,2024-12-29,BOA,Google Play,NEGATIVE,0.999807059764862,useless app downgrade,"['useless app', 'useless', 'app']",Other
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,BOA,Google Play,NEGATIVE,0.7652340531349182,let access account point app gey access account physically bank zero suffice point accross,"['access account', 'point', 'access']",Account Access Issues
Nice,5,2024-12-26,BOA,Google Play,POSITIVE,0.9998552799224854,nice,['nice'],Other
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,BOA,Google Play,NEGATIVE,0.9997933506965636,go rid real app work far bad mobile banking app,"['real', 'far', 'bad mobile']",Other
አይሰራም ሼም ነው፤,1,2024-12-23,BOA,Google Play,NEGATIVE,0.8616330027580261,አይሰራም ሼም,['አይሰራም'],Other
Not that much bad,3,2024-12-22,BOA,Google Play,POSITIVE,0.998815894126892,bad,['bad'],Other
Fine,5,2024-12-21,BOA,Google Play,POSITIVE,0.9998335838317872,fine,['fine'],Other
The dirtiest application ever seen...,1,2024-12-20,BOA,Google Play,NEGATIVE,0.995487630367279,dirty application see,"['application see', 'see', 'application']",Other
Nic ap,5,2024-12-19,BOA,Google Play,POSITIVE,0.9873360991477966,nic ap,['nic'],Other
The forest app ever,1,2024-12-19,BOA,Google Play,POSITIVE,0.9840954542160034,forest app,['app'],Other
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,BOA,Google Play,NEGATIVE,0.9967040419578552,love boa curse come mobile banking ine hetter ask turn developer option wise will work use cbe awash birr tekebirr dashen bank non ask boa improve mobile banking competitive,"['ask', 'boa', 'mobile banking']",Other
Bank of abissena,1,2024-12-17,BOA,Google Play,POSITIVE,0.9480117559432985,bank abissena,['bank'],Other
Good,3,2024-12-16,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,BOA,Google Play,NEGATIVE,0.9888866543769836,easy sooo simple use easy stole someone money app,"['easy', 'sooo', 'simple use']",User Interface & Experience
GOOD,5,2024-12-15,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
The worst banking app ever. Never works!,1,2024-12-14,BOA,Google Play,NEGATIVE,0.999800741672516,bad banking app work,"['bad banking', 'app work', 'banking app']",Other
Poorly functioning app,3,2024-12-13,BOA,Google Play,NEGATIVE,0.999775230884552,poorly function app,"['poorly', 'function', 'app']",Other
Very nice,5,2024-12-13,BOA,Google Play,POSITIVE,0.9998563528060912,nice,['nice'],Other
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,BOA,Google Play,NEGATIVE,0.999800741672516,system bad well,"['bad well', 'system', 'well']",Other
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,BOA,Google Play,NEGATIVE,0.9997615218162536,guy start give mobile app service work sure know work sure lazy incompetent fix lose business complacency consequence,"['sure', 'know work', 'work']",Other
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,BOA,Google Play,POSITIVE,0.9543284177780152,good app feature awesome work need turn developer option tired have constantly switch developer option express struggle precious setting enable developer option open app boa app turn help abyssinia bank hope provide update soon,"['developer option', 'option', 'developer']",Other
